collection,closenessValue,rph,reactionCountActual,reactionCountExpected
,0.134174,,,
,0.122514,,,
,0.117242,,,
,0.115264,,,
,0.114805,,,
,0.113193,,,
,0.112813,,,
,0.112248,,,
,0.111534,,,
,0.110981,,,
,0.11092,,,
,0.108678,,,
,0.108473,,,
,0.106552,,,
,0.106271,,,
,0.105992,,,
,0.104238,,,
,0.104077,,,
,0.103516,,,
,0.103171,,,
,0.101945,,,
,0.101894,,,
,0.101254,,,
,0.100272,,,
,0.099924,,,
,0.098677,,,
,0.09858,,,
,0.098508,,,
,0.098125,,,
,0.09772,,,
,0.097697,,,
,0.097555,,,
,0.097508,,,
,0.097484,,,
,0.097272,,,
,0.097249,,,
,0.096759,,,
,0.096504,,,
,0.096481,,,
,0.096343,,,
,0.096182,,,
,0.095976,,,
,0.095634,,,
,0.095612,,,
,0.095589,,,
,0.095521,,,
,0.095476,,,
,0.095318,,,
,0.095205,,,
,0.09516,,,
