collection,betweennessValue,rph,reactionCountActual
collection2012,0.1326,-0.8,0.59
collection0002,0.1268,0.64,0.51
collection0017,0.1268,0.63,0.49
collection1378,0.1151,-0.73,0.55
collection2304,0.1109,0.6,0.86
collection0746,0.0292,0.62,0.54
collection0013,0.0181,-0.51,0.65
collection0280,0.0147,-0.45,0.54
collection0424,0.0127,-0.75,0.64
collection1146,0.0115,-0.4,0.44
collection0001,0.0104,-0.52,0.66
collection1768,0.0097,0.38,0.7
collection1043,0.0095,-0.13,0.46
collection0166,0.0077,-0.63,0.66
collection0877,0.0065,0.1,0.28
collection0151,0.006,0.14,0.77
collection0298,0.0059,0.37,0.59
collection0014,0.0055,-0.82,0.76
collection0032,0.0055,-0.8,0.76
collection0525,0.0049,-0.67,0.75
collection0043,0.0045,-0.5,0.41
collection0206,0.0044,0.33,0.84
collection0061,0.0044,-0.49,0.47
collection1626,0.0039,-0.9,0.34
collection0044,0.0033,-0.78,0.42
collection0485,0.0033,0.16,0.69
collection1441,0.0033,0.17,0.78
collection1216,0.0031,-0.56,0.79
collection0400,0.0028,0.58,0.65
collection0748,0.0026,-0.81,0.12
collection0068,0.0025,-0.47,0.65
collection0010,0.0021,-0.53,0.83
collection0647,0.002,-0.77,0.59
collection0450,0.002,-0.7,0.59
collection0054,0.0019,-0.49,0.73
collection0008,0.0019,-0.8,0.75
collection0162,0.0018,0.34,0.69
collection1167,0.0018,0.01,0.69
collection0041,0.0017,0.1,0.33
collection1208,0.0017,-0.77,0.01
collection0502,0.0016,-0.56,0.38
collection0282,0.0016,-0.83,0.77
collection0701,0.0014,-0.36,0.77
collection0190,0.0014,0.25,0.75
collection1605,0.0014,0.43,0.75
collection1036,0.0014,-0.28,0.71
collection1207,0.0013,-0.83,0.6
collection0268,0.0013,0.38,0.82
collection1061,0.0013,0.41,0.82
collection0003,0.0011,-0.43,0.66
