collection,eigenvectorValue,rph,reactionCountActual,reactionCountExpected
,0.094445,,,
,0.089068,,,
,0.088031,,,
,0.086246,,,
,0.086241,,,
,0.085766,,,
,0.083592,,,
,0.083531,,,
,0.082726,,,
,0.080996,,,
,0.080179,,,
,0.07835,,,
,0.077798,,,
,0.0765,,,
,0.075848,,,
,0.075521,,,
,0.07491,,,
,0.074527,,,
,0.073424,,,
,0.072983,,,
,0.071272,,,
,0.070375,,,
,0.06932,,,
,0.068487,,,
,0.067963,,,
,0.066641,,,
,0.066594,,,
,0.066256,,,
,0.065966,,,
,0.065809,,,
,0.065157,,,
,0.064505,,,
,0.064433,,,
,0.064085,,,
,0.063658,,,
,0.06348,,,
,0.063408,,,
,0.063407,,,
,0.063089,,,
,0.062834,,,
,0.062814,,,
,0.062806,,,
,0.062798,,,
,0.062645,,,
,0.06256,,,
,0.061549,,,
,0.061245,,,
,0.061088,,,
,0.060952,,,
,0.060879,,,
